LA_code,LA_name,Age_total,total_rate,Aged_4_years,Aged_5_to_9,Aged_10_to_15,Aged_16_to_19,Aged_20_to_24,Aged_25_to_34,Aged_35_to_49,Aged_50_to_64,Aged_65_to_74,Aged_75_to_84,Aged_85_plus,good_health_rate,bad_health_rate,2km_rate,5km_to_10km_rate,20km_to_30km_rate,40km_to_60km_rate,WFH,not_deprived_rate,deprived_1,deprived_2,deprived_3,deprived_4,no_car_rate,one_car_rate,two_car_rate,three_car_rate
E07000090,Havant,124207,2.38,49.32,55.54,66.95,39.55,47.85,114.88,166.38,216.21,123.95,83.81,35.55,443.03,43.77,47.55,63.56,12.25,5.02,116.04,455.35,353.54,149.66,37.7,3.75,33.62,73.83,56.62,22.08
E07000091,New Forest,175778,1.72,41.16,49.18,63.48,36.97,40.14,92.18,158.61,224.49,146.18,101.45,46.15,461.24,37.17,49.19,51,25.9,4.37,136.31,514.49,342.88,119.45,21.54,1.64,22.69,75.67,66.33,30.02
E07000092,Rushmoor,99758,2.2,62.11,61.09,66.11,40.44,56.07,164.38,211.94,186.2,82.93,51.24,17.49,495.48,29.72,64.88,58.15,21.93,12.56,153.38,510.92,327.93,128.18,30.83,2.14,25.36,62.69,49.43,17.73
E07000093,Test Valley,130488,1.69,53.19,59.78,68.95,37.99,43.7,119.51,193.77,211.05,110.68,72.7,28.67,503.46,30.33,50.54,41.57,32.02,8.87,182.82,556.79,319.98,101.87,20.4,0.97,20.95,65.66,64.15,25.01
E07000094,Winchester,127448,1.49,47.42,57.55,73.13,59.91,64.08,103.26,185.09,201.02,105.23,71.69,31.64,532.37,27.2,46.14,31.46,22.75,7.4,205.96,583.06,303.68,94.89,17.29,1.08,22.28,63.16,56.4,22.81
E07000095,Broxbourne,99005,2.17,60.05,62.31,75.31,43.55,52.44,132.22,204.42,195.58,89.04,60.06,25.03,501.29,33.88,45.64,58.3,33.3,3.32,143.61,464.9,350.62,145.87,35.21,3.41,26.82,67.63,47.35,20.21
E07000096,Dacorum,155082,2.01,61.76,64.02,76.03,40.08,45.82,128.83,211.9,197.69,92.16,55.84,25.86,519.75,30.85,49.74,37.55,21.91,6.62,194.9,539.28,317.9,114.19,26.39,2.24,24.25,68.18,54,20.76
E07000098,Hertsmere,107822,2.95,58.4,63.51,78.72,43.74,50.49,119.76,212.93,194.96,91.27,58.68,27.53,534.7,29.72,39.57,53.1,23.34,2.39,195.24,518.74,331.45,121.15,26.88,1.78,24.3,66.25,48.64,17.52
E07000099,North Hertfordshire,133211,2.24,56.05,61.84,73.3,38.75,43.82,122.42,209.77,200.11,99.78,65.12,29.03,505.85,30.7,52.11,38.64,24.32,16.73,215.37,550.5,315.48,110.33,22.23,1.46,28.08,77.82,55.52,19.97
E07000102,Three Rivers,93774,2.44,54.6,63.7,81.86,43.94,47.11,109.73,214.57,203.57,94.82,59.23,26.87,536.72,27.58,30.45,52.29,28.1,3.26,209.1,553.29,314.32,108.11,22.09,2.2,19.28,61.5,52.09,21.62
E07000103,Watford,102244,2.32,63.85,66.86,77.45,42.38,52.18,161.54,240.85,168.86,67.4,41.07,17.58,523.84,28.9,76.57,38.61,32.63,3.16,175.06,505.98,330.95,128.47,31.89,2.7,33.67,66.82,37.97,11.76
E07000105,Ashford,132752,2.61,57.31,62.64,75.74,43.77,48.75,126.61,188.24,201.08,104.65,67.11,24.1,484.62,35.77,54.3,28.96,29.58,7.39,144.03,499.86,337.52,132.15,28.52,1.96,23.43,64.98,52.08,22.43
E07000106,Canterbury,157431,2.86,43.34,49.22,64.05,69.08,100.29,108.48,162.35,185.62,113.8,73.93,29.85,470.26,39.53,56.41,45.87,23.21,7.08,127.73,472.94,349.48,142.32,32.8,2.46,34.21,70.03,43.52,16.44
E07000107,Dartford,116756,2.44,70.93,70.81,81.42,40.72,48.22,152.31,224.49,173.72,73.68,44.73,18.97,523.55,29.03,43.48,49.16,42.91,3.85,156.03,521.84,321.29,126.64,28.06,2.17,25.81,68.97,43.7,14.69
E07000108,Dover,116407,2.91,48.7,55.78,69.7,39.79,46.46,115.31,169.21,215.39,129.33,80.8,29.53,442.03,48.2,54.33,39.09,31.79,5.11,105.59,451.48,349.76,158.31,37.94,2.51,37.85,80.23,51.06,19.42
E07000109,Gravesham,106899,2.76,61.74,66.93,80.35,43.95,52.99,132.35,199.18,190.25,90.82,58.14,23.29,486.56,38.24,45.83,49.45,25.08,6.4,121.96,451.42,353.17,153.03,38.97,3.41,29.95,62.41,42.41,17.57
E07000110,Maidstone,175778,2.26,59.11,61.87,70.44,39.46,50.39,133.32,199.15,195.55,101.47,64.22,25.03,497.75,33.18,47.42,44.93,23.29,15.58,152.7,515.44,333.73,121.43,27.2,2.19,23.97,64.54,53.58,22.02
E07000111,Sevenoaks,120516,2.28,55.79,62.95,79.67,41.46,41.19,102.68,194.02,207.1,110.72,72.69,31.75,526.15,30.37,30.2,37.31,29.51,3.96,197.28,546.73,317.44,110.15,24.34,1.33,18.92,66.48,55.12,24.89
E07000112,Folkestone and Hythe,109754,3.32,46.58,52.73,66.57,37.36,47.8,109.61,171.35,218.12,133.85,84.4,31.64,431.91,50.29,56.1,29.84,26.85,8.42,125.46,444.23,354.63,158.15,39.7,3.29,39.77,82.93,51.34,19.91
E07000113,Swale,151678,2.64,58.65,62.22,74.8,42.08,52.49,131.16,188.65,199.34,105.33,63.79,21.5,454.69,44.09,55.19,38.63,25.1,11.84,115.95,443.2,352.08,157.72,44.22,2.78,26.46,63.87,48.52,20.22
E07000114,Thanet,140585,3.19,52.17,56.67,70.2,39.66,47.97,115.83,176.57,204.38,126.29,79.92,30.34,419.67,55.65,58.33,44.61,22.83,5.56,102.49,411.51,361.45,176.14,46.78,4.12,51.04,84.38,44.72,15.61
E07000115,Tonbridge and Malling,132196,1.85,58.08,64.55,79.14,43.9,44.12,114.91,200.1,203.77,99.65,66.36,25.42,513.6,31.5,36.33,50.37,24.26,15.87,180.13,539.12,320.13,115.06,24.52,1.17,20.21,65.4,56.3,22.32
E07000116,Tunbridge Wells,115311,1.81,53.48,61.54,83.65,43.33,41.9,111.37,204.11,206.62,98.26,66.31,29.45,527.56,29.62,51.58,35.19,17.21,14.81,204.95,552.51,310.83,109.87,24.64,2.16,27.14,74.62,52.65,20.48
E07000117,Burnley,94649,3.06,60.87,65.23,79.38,44.72,54.63,136.29,187.41,192.91,100.91,57.78,19.86,450.59,53.6,77.03,53.8,13.71,3.79,71.19,408.93,342.82,183.49,61.19,3.56,51.93,75.63,38.86,11.05
E07000118,Chorley,117731,1.92,51.49,59.22,70.75,38.49,45.35,121.13,196.89,211.83,113.78,69.16,21.91,486.97,40.22,47.44,59.53,21.06,4.02,140.83,525.41,325.64,119.99,28.05,0.92,26.55,74.08,60.8,19.9
E07000119,Fylde,81380,3.12,40.71,48.17,60.11,35.44,39.92,98.82,164.88,233.67,142.2,96.73,39.35,459.9,44.74,49.15,60.36,12.94,6.55,139.6,508.13,339.16,123.61,27.39,1.71,35.84,94.58,63,20.12
E07000120,Hyndburn,82236,2.57,59.91,64.21,77.79,47.27,55.18,133.91,182.24,197.02,100.77,60.84,20.87,439.24,53.35,58.93,80.26,17.63,4.38,76.72,424.44,340.53,175.11,57.06,2.87,45.37,77.23,43.39,13.01
E07000121,Lancaster,142932,1.99,47.16,52.19,63.62,64.14,89.39,113.54,168.1,196.53,109.69,68.29,27.35,464.93,43.48,70.43,54.63,17.98,5.18,107.95,483.94,338.69,139.77,35.55,2.06,40.03,76.04,45.47,14.57
E07000122,Pendle,95753,2.72,62.16,68.44,83.86,47.04,54.54,125.58,190.73,187.58,101.86,57.08,21.14,467.37,44.76,73.24,52.3,17.99,5.73,77.92,425.05,350.26,169.45,52.51,2.74,36.78,68.52,39.77,13.01
E07000123,Preston,147835,2.1,60.33,62.51,74.43,54.12,85.22,147.08,189.85,178.94,80.39,47.24,19.88,484.22,43.15,67.05,48.23,17.52,5.96,112.38,466.13,336.07,149.83,45.29,2.67,45.1,67.3,38.78,11.4
E07000124,Ribble Valley,61558,2.36,42.77,49.47,71.82,40.73,44.09,99.68,171.37,238.82,126.82,83.12,31.32,525.68,30.13,51.67,61.34,25.63,10.33,146.28,585.97,304.93,91.78,16.29,1.01,21.57,74.89,66.33,26.01
E07000125,Rossendale,70876,2.34,53.33,61.52,76.63,41.51,45.81,122.85,190.06,215.55,111.24,60.02,21.49,469.98,48.39,47.53,57.18,31.24,3.75,113.38,479.89,329.53,147.12,41.55,1.9,34.1,77.49,56.59,17.75
E07000126,South Ribble,111042,2.03,49.54,57.16,69.24,40.18,46.77,119.16,186.45,215.08,117.6,72.68,26.14,478.85,38.89,49.8,79.06,19.93,5.14,141.67,524.02,330.18,120.83,23.83,1.13,27.45,81.77,62.5,19.74
E07000127,West Lancashire,117427,2.22,44.67,51.28,66.66,64.78,68.96,105.33,165.81,213.47,116.71,76.06,26.26,480.81,43.55,51.9,55.96,27.34,4.99,114.94,487.07,338.78,140.48,32.28,1.38,30.72,67.9,52.63,19.57
E07000128,Wyre,111949,3.04,43.68,49.82,63.67,40.22,42.47,101.22,157.35,224.64,142.73,97.07,37.13,443.26,52.72,47.83,54.53,17.94,4.93,111.47,460.26,348.79,153.51,35.71,1.73,37.86,88.87,58.45,20.46
E07000129,Blaby,102933,2.02,55.45,60.5,71.17,40.17,46.64,126.47,192.44,202.38,108.31,70.09,26.37,490.35,32.33,34.67,85.1,16.18,7.47,150.84,536.28,328.62,115.16,19.33,0.61,19.56,67.3,61.96,22.26
E07000130,Charnwood,183978,1.76,49.86,53.59,64.34,64.21,87.23,123.6,181.16,187.74,101.45,62.42,24.39,490.57,32.89,51.15,62.88,16.16,5.07,139.35,529.53,323.69,120.2,25.55,1.04,25.06,65.2,52.78,17.8
E07000131,Harborough,97631,1.55,48.34,55.01,72.78,43.02,44.49,107.41,187.81,220.93,117.06,75.14,27.99,515.02,29.19,44.67,50.09,34.95,8.22,178.98,578.77,308.61,96.46,15.47,0.7,17.11,62.41,65.23,26.6
